 -1.84236840029060829e-19 -1.90775741488002923e-21 -1.63832305675816935e-24
  1.37669835883820287e-25  1.68569622041218596e-29 -1.71842551320858926e-30
B0531+21   22-Apr-15   23000.00   57134.10416666660            56.778743  0.798 -7.984
    198070563.940842   29.668855443614   jb  300   12   327.000                
  1.76066260451084749e-09 -2.90020039515400951e-01  3.15411274249115275e-06
  1.58567668858094724e-09 -5.07186647581204565e-12 -1.52491083048910265e-15
  3.33262485465854891e-18  8.93024421945837596e-22 -5.60817195813006435e-24
  1.17365626719148177e-26  6.96241945712426767e-29 -3.69290765810703162e-31
B0531+21   22-Apr-15   60000.00   57134.25000000000            56.778750  0.788 -7.666
    198444330.758979   29.668855443614   jb  300   12   327.000                
  1.92448781147180317e-08 -2.88679944519937504e-01  2.76851456442406762e-06
 -2.72215087906119999e-09 -4.45388638876182975e-12  2.66078749088209524e-15
  2.94940785105749961e-18 -5.46104819073079302e-21 -5.89961673699856012e-24
